x,y
-4.04470000000001E+06,2.96428118789534E-08
-4.04468799879989E+06,2.4071410534875E-08
-4.04467599759977E+06,1.90773618764486E-08
-4.04466399639965E+06,1.46614461969074E-08
-4.04465199519953E+06,1.08244405718632E-08
-4.04463999399941E+06,7.56711885133596E-09
-4.04462799279929E+06,4.89025165241146E-09
-4.04461599159917E+06,2.7946063506469E-09
-4.04460399039905E+06,1.28094707281513E-09
-4.04459198919893E+06,3.5003468895905E-10
-4.04457998799881E+06,2.62680462986464E-12
-4.04456798679869E+06,2.39477753126224E-10
-4.04455598559857E+06,1.06133858775127E-09
-4.04454398439845E+06,2.46895707408389E-09
-4.04453198319833E+06,4.46307768227168E-09
-4.04451998199821E+06,7.04444157943927E-09
-4.04450798079809E+06,1.02137866215923E-08
-4.04449597959797E+06,1.39718473465525E-08
-4.04448397839785E+06,1.83193549659216E-08
-4.04447197719773E+06,2.32570373575524E-08
-4.04445997599761E+06,2.87856190579261E-08
-4.04444797479749E+06,3.49058212545387E-08
-4.04443597359737E+06,4.16183617783433E-08
-4.04442397239725E+06,4.89239550961485E-08
-4.04441197119713E+06,5.6823312303102E-08
-4.04439996999701E+06,6.53171411154572E-08
-4.04438796879689E+06,7.44061458617517E-08
-4.04437596759677E+06,8.40910274772394E-08
-4.04436396639665E+06,9.43724834951543E-08
-4.04435196519653E+06,1.05251208039507E-07
-4.04433996399641E+06,1.16727891817687E-07
-4.04432796279629E+06,1.28803222112963E-07
-4.04431596159617E+06,1.41477882777129E-07
-4.04430396039605E+06,1.54752554223032E-07
-4.04429195919593E+06,1.68627913417254E-07
-4.04427995799581E+06,1.83104633873245E-07
-4.04426795679569E+06,1.98183385641758E-07
-4.04425595559557E+06,2.13864835306855E-07
-4.04424395439545E+06,2.30149645976378E-07
-4.04423195319533E+06,2.47038477275154E-07
-4.0442199519952E+06,2.64531985337787E-07
-4.04420795079509E+06,2.82630822801303E-07
-4.04419594959497E+06,3.01335638797986E-07
-4.04418394839485E+06,3.20647078948056E-07
-4.04417194719472E+06,3.40565785353333E-07
-4.0441599459946E+06,3.61092396586818E-07
-4.04414794479448E+06,3.82227547690262E-07
-4.04413594359436E+06,4.03971870163822E-07
-4.04412394239425E+06,4.2632599195979E-07
-4.04411194119413E+06,4.49290537475344E-07
-4.04409993999401E+06,4.72866127545567E-07
-4.04408793879389E+06,4.97053379436221E-07
-4.04407593759377E+06,5.21852906836808E-07
-4.04406393639365E+06,5.47265319853376E-07
