Energy (MHz),Magnetic Field (G)
-3.899984196421266,202.15
-3.890722811292349,202.2204013377927
-3.881435185532589,202.2908026755853
-3.872121229335897,202.3612040133779
-3.862780852729319,202.4316053511706
-3.853413965576868,202.5020066889632
-3.844020477583524,202.5724080267559
-3.834600298299287,202.6428093645485
-3.825153337123393,202.7132107023411
-3.815679503308606,202.7836120401338
-3.806178705965682,202.8540133779264
-3.7966508540679,202.9244147157191
-3.787095856455792,202.9948160535117
-3.777513621841921,203.0652173913043
-3.76790405881585,203.135618729097
-3.758267075849258,203.2060200668896
-3.748602581301114,203.2764214046823
-3.738910483423099,203.3468227424749
-3.729190690365079,203.4172240802676
-3.719443110180801,203.4876254180602
-3.709667650833691,203.5580267558528
-3.699864220202815,203.6284280936455
-3.690032726089032,203.6988294314381
-3.680173076221266,203.7692307692308
-3.670285178262966,203.8396321070234
-3.660368939818732,203.9100334448161
-3.650424268441111,203.9804347826087
-3.640451071637574,204.0508361204013
-3.63044925687766,204.121237458194
-3.62041873160033,204.1916387959866
-3.610359403221491,204.2620401337793
-3.6002711791417,204.3324414715719
-3.59015396675411,204.4028428093646
-3.580007673452553,204.4732441471572
-3.569832206639909,204.5436454849498
-3.559627473736595,204.6140468227425
-3.549393382189344,204.6844481605351
-3.539129839480159,204.7548494983278
-3.528836753135523,204.8252508361204
-3.518514030735805,204.895652173913
-3.508161579924931,204.9660535117057
-3.497779308420273,205.0364548494983
-3.487367124022797,205.106856187291
-3.476924934627456,205.1772575250836
-3.46645264823383,205.2476588628762
-3.455950172957058,205.3180602006689
-3.445417417038995,205.3884615384615
-3.434854288859686,205.4588628762542
-3.424260696949073,205.5292642140468
-3.413636549999037,205.5996655518395
-3.402981756875695,205.6700668896321
-3.392296226632003,205.7404682274247
-3.38157986852069,205.8108695652174
-3.370832592007474,205.88127090301
-3.360054306784602,205.9516722408027
-3.349244922784726,206.0220735785953
-3.338404350195115,206.092474916388
-3.327532499472197,206.1628762541806
-3.316629281356453,206.2332775919732
-3.305694606887664,206.3036789297659
-3.294728387420538,206.3740802675585
-3.283730534640704,206.4444816053512
-3.272700960581051,206.5148829431438
-3.261639577638529,206.5852842809365
-3.250546298591283,206.6556856187291
-3.239421036616213,206.7260869565218
-3.228263705306987,206.7964882943144
-3.217074218692404,206.866889632107
-3.205852491255276,206.9372909698997
-3.194598437951703,207.0076923076923
