filename,ff,pol,trf_dimer,trf_blackman,HFT_detuning,gain,Vpp_dimer,trap_depth,barnu,barnu_sem,Ushots_run_i,N_i,N_i_sem,ToTF_i,ToTF_i_sem,EF_i,EF_i_sem,Ushots_run_f,N_f,N_f_sem,ToTF_f,ToTF_f_sem,EF_f,EF_f_sem,old_N_i,old_N_i_sem,old_ToTF_i,old_ToTF_i_sem,old_EF_i,old_EF_i_sem,old_N_f,old_N_f_sem,old_ToTF_f,old_ToTF_f_sem,old_EF_f,old_EF_f_sem,Bfield,res_freq,remove_indices,exclude,notes
2024-10-17_S_e,1.13,0.50325,0.00001,0.0002,0.1,1,1.9,0.15,377,13,Q,37759,260,0.3408,0.0016,18.55,0.043,T,31497,700,0.327,0.0023,17.45,0.13,38846,280,0.332,0.0018,0.0187,0.000045,32851,690,0.322,0.0021,0.0177,0.00013,202.14,47.2227,,0,
2024-10-18_H_e,1.13,0.534088,0.00001,0.0002,0.1,1,1.9,0.15,377,13,G,17714,140,0.2662,0.0051,14.7,0.038,I,13485,150,0.2208,0.005,13.42,0.049,19723,150,0.259,0.0046,0.0149,0.000037,15035,180,0.214,0.0051,0.0136,0.00054,202.14,47.2227,[0],0,
2024-10-18_O_e,1.13,0.489827,0.00001,0.0002,0.1,1,1.97,0.15,377,13,N,33604,480,0.4104,0.002,17.67,0.084,P,34654,480,0.4059,0.0023,17.86,0.082,33743,560,0.397,0.0026,0.0178,0.000098,33972,620,0.388,0.0023,0.0179,0.00011,202.14,47.2227,,0,
2024-11-04_J_e,1.13,,0.00001,0.0002,0.1,1,2.34,0.15,377,13,,,,,,,,,,,,,,,31158,240,0.476,0.0022,0.0174,0.000045,31158,240,0.476,0.0022,0.0174,0.000045,202.14,47.2227,,1,
2024-11-04_M_e,1.13,0.497186,0.00001,0.0002,0.1,1,2.1,0.15,377,13,L,28367,330,0.5092,0.0043,16.79,0.065,N,26334,450,0.5096,0.0086,16.37,0.095,29296,330,0.505,0.0047,0.017,0.000064,27015,460,0.506,0.0085,0.0165,0.000095,202.14,47.2227,,0,
2024-11-04_O_e,1.13,0.513908,0.00001,0.0002,0.1,1,2,0.15,377,13,N,20862,220,0.3839,0.0027,15.32,0.054,P,20292,440,0.3966,0.0039,15.18,0.11,23999,430,0.428,0.01,0.0159,0.000094,21474,480,0.39,0.0041,0.0153,0.000011,202.14,47.2227,,0,
2024-11-04_R_e,1.13,0.521796,0.00001,0.0002,0.1,1,2.1,0.15,377,13,Q,35697,170,0.5967,0.0031,18.42,0.029,S,35237,370,0.6278,0.0086,18.34,0.065,38304,180,0.589,0.003,0.0186,0.000029,27687,390,0.612,0.0075,0.0185,0.000064,202.14,47.2227,,0,
2024-11-05_E_e,1.13,0.528508,0.00001,0.0002,0.1,1,2.14,0.15,377,13,D,35558,780,0.7456,0.0098,18.47,0.13,F,35233,690,0.7525,0.01,18.42,0.12,35983,540,0.832,0.01,0.0182,0.00009,35983,540,0.832,0.01,0.0182,0.00009,202.14,47.2227,,0,
2024-11-05_H_e,1.13,,0.00001,0.0002,0.1,1,2.62,0.15,377,13,,,,,,,,,,,,,,,36465,460,0.988,0.0066,0.0183,0.000077,29475,220,1.1,0.0054,0.017,0.000042,202.14,47.2227,,1,atom number drop
2025-02-11_M_e,0.83,0.515789,0.00001,0.0002,0.1,1,1.9,0.15,341,9,K,16788,120,0.333,0.0027,12.7,0.03,N,16552,230,0.343,0.0047,12.7,0.059,18308,120,0.311,0.0029,0.0135,0.000031,17725,270,0.315,0.0057,0.0134,0.000068,202.14,47.2227,,0,
