file,B,res_freqs,popt,perr,sat,Eb,e_Eb,sigma
2023-09-22_G,202.1,47.2158754910039,[-4.58926674e+03  4.32236291e+01  2.79964807e-02  9.23008203e+03],[2.09682006e+03 5.02663434e-03 8.28979685e-03 6.74304453e+01],1,-3.99224642644927,0.00502663433985025,0.0279964807462533
2023-09-22_H,202.1,47.2158754910039,[-2.95831260e+03  4.32192061e+01  3.54945340e-02  8.40378645e+03],[1.67785222e+02 2.25984775e-03 2.44824245e-03 5.55655996e+01],1,-3.9966693903802,0.00225984775498012,0.0354945340431403
2023-09-22_P,202.1,47.2158754910039,[-1.20210849e+03  4.32164187e+01  1.98980560e-02  9.42539841e+03],[1.09611806e+02 2.61234677e-03 2.95974295e-03 4.65526965e+01],0,-3.99945675216199,0.00261234676720778,0.019898055964122
2023-09-26_D,203.1,47.3854432751285,[-6.76320917e+03  4.35114204e+01  2.07817384e-02  1.23353524e+04],[4.74380204e+02 1.67465373e-03 1.69845377e-03 6.09309567e+01],1,-3.87402289717586,0.00167465373172677,0.0207817383865426
2023-09-28_J,202.4,47.2667980643996,[-4.25685506e+03  4.33039539e+01  1.96039894e-02  1.37477189e+04],[2.62898269e+02 1.73098521e-03 2.09899755e-03 1.19997990e+02],1,-3.96284420982272,0.00173098521088754,0.0196039893527472
2023-09-28_K,201.8,47.1649080736861,[-4.80604477e+03  4.31383920e+01  1.85282248e-02  1.28414718e+04],[2.78040512e+02 2.45021767e-03 2.36338347e-03 1.64213305e+02],1,-4.02651605309915,0.0024502176709015,0.0185282247531142
2023-09-29_C,201.4,47.0968816781443,[-3.28923910e+03  4.30430944e+01  3.82776440e-02  1.38100176e+04],[3.64871253e+02 4.74611747e-03 5.20266173e-03 1.29497394e+02],1,-4.05378724173723,0.00474611747421737,0.0382776439980236
2023-09-29_E,201,47.0287753633903,[-3.40580786e+03  4.28837418e+01  1.20076014e-02  1.32129887e+04],[5.07820079e+02 1.95002519e-03 1.90724329e-03 1.27338486e+02],1,-4.14503353665667,0.0019500251852995,0.0120076014121627
2023-09-29_F,201.2,47.062838517702,[-2.18949910e+03  4.29803524e+01  5.37037047e-02  1.37748695e+04],[3.13336856e+02 9.12244786e-03 1.11363997e-02 1.88492075e+02],0,-4.08248614153107,0.00912244785528707,0.0537037046681288
2023-10-12_B,201.2,47.062838517702,[-1.60388081e+03  4.29840256e+01  5.93323811e-02  1.24694641e+04],[2.30310560e+02 9.43455727e-03 1.06804649e-02 1.05134493e+02],0,-4.07881293561575,0.00943455727161269,0.0593323811014039
2023-10-12_C,201.1,47.0458094406593,[-1.91915495e+03  4.29527785e+01  6.67202388e-02  1.27471842e+04],[2.92620180e+02 9.94367840e-03 1.33619726e-02 1.99928115e+02],0,-4.09303090270947,0.00994367839599987,0.0667202388194577
2023-10-16_B,201.6,47.130904858786,[-3.44957425e+03  4.30977045e+01  4.03388978e-02  1.12533128e+04],[2.16938842e+02 2.77821943e-03 3.19668258e-03 9.64396553e+01],1,-4.0332003370745,0.00277821943161645,0.0403388978363801
2023-10-16_C,202,47.1988913368951,[-4.10526621e+03  4.31964909e+01  3.29238538e-02  1.22519983e+04],[2.56092348e+02 2.27089064e-03 2.55953994e-03 1.04277542e+02],1,-4.0024004796685,0.00227089064041291,0.0329238537884667
2023-10-16_D,201.9,47.1819021983742,[-4.31120739e+03  4.31749655e+01  4.05779273e-02  1.25390985e+04],[2.92921611e+02 3.01011241e-03 3.48954665e-03 1.33736263e+02],1,-4.00693667252668,0.00301011241020125,0.0405779273425096
2024-10-30_B,209,48.3758445126028,[-5.01059816e+03  4.54449771e+01  9.26858114e-03  1.41817703e+04],[1.20044426e+03 2.58147320e-03 2.57979883e-03 2.08807541e+02],0,-2.93086736365691,0.00258147320361439,0.00926858114453506
2024-10-30_D,204,47.5376297108816,[-5.60023426e+03  4.37967868e+01  1.61179676e-02  1.38334848e+04],[6.56425381e+02 2.22140603e-03 2.17840233e-03 1.57089103e+02],1,-3.74084289751731,0.00222140602570846,0.016117967598628
2024-11-01_F,207,48.0420295368656,[-5.56802102e+03  4.47742514e+01  1.21231693e-02  1.30246915e+04],[6.78519115e+02 1.64983466e-03 1.97619378e-03 1.70109696e+02],0,-3.26777811958355,0.0016498346608716,0.0121231692839145
2024-11-01_H,211,48.7077143122955,[-2.11333132e+04  4.61504397e+01 -5.09157776e-03  1.25586555e+04],[4.07710559e+09 4.40673451e+01 2.55139916e+02 5.57828032e+02],1,-2.55727461260444,44.0673450981077,0.00509157776005952
2025-03-27_E,203.1,47.3854432751285,[-4.40745861e+03  4.35249305e+01  1.21399963e-02  1.12655491e+04],[4.22042353e+02 1.32626052e-03 1.48655158e-03 1.13995186e+02],,-3.86051279637423,0.00132626051968262,0.0121399962901581
