OmegaR^2t^2, loss, loss_std
2.369895828740301025e-02,2.269560611924786170e-02,6.172379806024454879e-02
7.460165038358552991e-02,4.291316127192351670e-02,7.517497114075918918e-02
1.146562277707455363e-01,4.023853659530256949e-02,5.606221876891406136e-02
2.147092242024222775e-01,3.914974231529193965e-02,6.464121551422480350e-02
3.246089709084426511e-01,3.166670061722100943e-02,3.106063571889889491e-02
3.788495444535551204e-01,4.476788005948129784e-02,3.062719935562703208e-02
4.385141753531786590e-01,6.644293251308788784e-02,3.148798657195680389e-02
5.578434371524263469e-01,8.729807907763134645e-02,5.229740612693063728e-02
6.175080680520502741e-01,8.999903968431798018e-02,5.834232459696916950e-02
8.511597694771502187e-01,1.634043918437187715e-01,4.167460335246718495e-02
9.608926221107244592e-01,1.860980045804147276e-01,3.546556707535870184e-02
1.070625474744298256e+00,2.273181293050514917e-01,3.619030521942068895e-02
1.290091180011445626e+00,3.007809985537063246e-01,3.085179770899063728e-02
1.485357244773850560e+00,3.937222708846834784e-01,2.839815845904328576e-02
1.680623309536255050e+00,4.648860279888370473e-01,2.739005500549860500e-02
1.858365496691778196e+00,5.513944511213868527e-01,2.314849448480914632e-02
2.292707320233794199e+00,6.939441038072151624e-01,1.284369976890372030e-02
2.720373380877950886e+00,8.177064023955511463e-01,2.418619797856372267e-02
3.421328485153250831e+00,8.457307856837302795e-01,1.986834544372135039e-02
4.055525960449951839e+00,7.213400623332179018e-01,2.203128965548756604e-02
4.723102250235951871e+00,4.685441323256808177e-01,2.657782220042560414e-02
5.390678540021951903e+00,2.217832189199649418e-01,4.884334112594346938e-02
