xs,ys
-4334700.000000005,1.58762899539074e-05
-4334629.992999305,1.5847970664234753e-05
-4334559.985998604,1.581951162796251e-05
-4334489.978997905,1.57909133563358e-05
-4334419.971997204,1.5762176363734315e-05
-4334349.964996505,1.573330116766801e-05
-4334279.957995804,1.5704288288767117e-05
-4334209.950995104,1.5675138250777886e-05
-4334139.943994404,1.5645851580552243e-05
-4334069.936993704,1.5616428808043535e-05
-4333999.929993004,1.5586870466296065e-05
-4333929.922992304,1.555717709144075e-05
-4333859.915991603,1.552734922268435e-05
-4333789.908990904,1.549738740230518e-05
-4333719.901990204,1.5467292175642532e-05
-4333649.894989504,1.5437064091090225e-05
-4333579.887988804,1.5406703700090015e-05
-4333509.880988103,1.5376211557120902e-05
-4333439.873987404,1.5345588219694503e-05
-4333369.866986703,1.5314834248343752e-05
-4333299.8599860035,1.528395020661814e-05
-4333229.852985303,1.5252936661072457e-05
-4333159.845984603,1.5221794181261702e-05
-4333089.838983903,1.5190523339729719e-05
-4333019.831983203,1.515912471200419e-05
-4332949.8249825025,1.5127598876584885e-05
-4332879.817981803,1.5095946414938683e-05
-4332809.810981103,1.5064167911488075e-05
-4332739.803980403,1.5032263953603907e-05
-4332669.796979703,1.5000235131598115e-05
-4332599.789979002,1.496808203871196e-05
-4332529.782978303,1.493580527111085e-05
-4332459.775977602,1.490340542787202e-05
-4332389.768976903,1.4870883110979143e-05
-4332319.761976202,1.4838238925309996e-05
-4332249.754975502,1.4805473478630966e-05
-4332179.747974802,1.4772587381584427e-05
-4332109.740974102,1.4739581247683347e-05
-4332039.733973402,1.4706455693298369e-05
-4331969.726972702,1.4673211337652253e-05
-4331899.719972001,1.463984880280706e-05
-4331829.712971302,1.4606368713658362e-05
-4331759.705970602,1.457277169792267e-05
-4331689.698969902,1.4539058386129344e-05
-4331619.691969202,1.4505229411612444e-05
-4331549.684968501,1.4471285410497967e-05
-4331479.677967802,1.4437227021697767e-05
-4331409.670967101,1.4403054886896288e-05
-4331339.6639664015,1.4368769650544552e-05
-4331269.656965701,1.4334371959846432e-05
-4331199.649965001,1.4299862464752546e-05
-4331129.642964301,1.4265241817946797e-05
-4331059.635963601,1.4230510674839764e-05
-4330989.6289629005,1.4195669693555184e-05
-4330919.621962201,1.4160719534923448e-05
-4330849.614961501,1.4125660862468161e-05
-4330779.607960801,1.4090494342397294e-05
-4330709.600960101,1.4055220643594368e-05
-4330639.5939594,1.401984043760469e-05
-4330569.586958701,1.3984354398628854e-05
-4330499.579958,1.3948763203508329e-05
-4330429.572957301,1.3913067531718882e-05
-4330359.5659566,1.3877268065356065e-05
-4330289.5589559,1.3841365489128417e-05
-4330219.5519552,1.3805360490342947e-05
-4330149.5449545,1.3769253758898263e-05
-4330079.5379538,1.3733045987269789e-05
-4330009.5309531,1.3696737870502856e-05
-4329939.5239524,1.3660330106198283e-05
-4329869.5169517,1.3623823394503013e-05
-4329799.509951,1.3587218438100267e-05
-4329729.5029502995,1.3550515942195252e-05
-4329659.4959496,1.3513716614507847e-05
-4329589.488948899,1.3476821165257406e-05
-4329519.4819482,1.343983030715552e-05
-4329449.474947499,1.3402744755390672e-05
-4329379.4679467995,1.3365565227620793e-05
-4329309.460946099,1.3328292443957925e-05
-4329239.453945399,1.3290927126960676e-05
-4329169.446944699,1.3253470001618745e-05
-4329099.439943999,1.3215921795345117e-05
-4329029.432943299,1.3178283237961093e-05
-4328959.425942599,1.3140555061686097e-05
-4328889.418941899,1.3102738001127218e-05
-4328819.411941199,1.306483279326402e-05
-4328749.404940499,1.3026840177440719e-05
-4328679.397939798,1.298876089535007e-05
-4328609.390939099,1.2950595691025591e-05
-4328539.383938398,1.291234531082535e-05
-4328469.376937699,1.2874010503423917e-05
-4328399.369936998,1.2835592019796332e-05
-4328329.362936298,1.2797090613209803e-05
-4328259.355935598,1.27585070392074e-05
-4328189.348934898,1.2719842055599872e-05
-4328119.3419341985,1.2681096422449717e-05
-4328049.334933498,1.2642270902060267e-05
-4327979.327932798,1.2603366258964852e-05
-4327909.320932098,1.2564383259910543e-05
-4327839.313931398,1.252532267384987e-05
-4327769.3069306975,1.2486185271923912e-05
-4327699.299929998,1.2446971827453942e-05
-4327629.292929297,1.2407683115924362e-05
-4327559.285928598,1.2368319914974302e-05
-4327489.278927897,1.2328883004380416e-05
-4327419.271927197,1.2289373166048376e-05
-4327349.264926497,1.2249791183995639e-05
-4327279.257925797,1.2210137844342674e-05
-4327209.250925097,1.2170413935295796e-05
-4327139.243924397,1.2130620247138308e-05
-4327069.236923697,1.2090757572213563e-05
-4326999.229922997,1.2050826704913605e-05
-4326929.222922297,1.2010828441667197e-05
-4326859.215921597,1.1970763580923242e-05
-4326789.208920897,1.1930632923141336e-05
-4326719.201920196,1.1890437270774366e-05
-4326649.194919497,1.1850177428259346e-05
-4326579.187918796,1.1809854201999585e-05
-4326509.180918097,1.1769468400355442e-05
-4326439.173917396,1.1729020833626695e-05
-4326369.166916696,1.1688512314042904e-05
-4326299.159915996,1.1647943655745649e-05
-4326229.152915296,1.1607315674779215e-05
-4326159.1459145965,1.1566629189072822e-05
-4326089.138913896,1.1525885018428618e-05
-4326019.131913196,1.1485083984509383e-05
-4325949.124912496,1.1444226910820892e-05
-4325879.117911796,1.1403314622702347e-05
-4325809.1109110955,1.1362347947307935e-05
-4325739.103910396,1.1321327713597279e-05
-4325669.096909695,1.1280254752316915e-05
-4325599.089908996,1.1239129895990508e-05
-4325529.082908295,1.1197953978900493e-05
-4325459.075907595,1.1156727837078076e-05
-4325389.068906895,1.111545230828464e-05
-4325319.061906195,1.107412823200178e-05
